,AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
68,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-05-09,2.2652108669281006,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
69,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-05-19,1.5539922714233398,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
70,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-05-24,0.6853502988815308,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
71,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-05-29,1.9999964237213135,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
72,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-03,2.5880355834960938,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
73,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-08,4.423815727233887,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
74,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-13,4.284389972686768,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
75,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-18,0.8709474802017212,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
76,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-23,3.5310444831848145,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
77,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-06-28,1.5203115940093994,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
78,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-07-03,4.036018371582031,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
79,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,2020-07-13,2.150404453277588,Number of ships in 14.0 km x 14.0 km area,,,,,,Number of ships inferred,Changes in Ships traffic,RED,,,Weekly
80,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-09-22,21.548542022705078,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
81,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-09-25,20.243080139160156,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
82,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-09-27,19.719552993774414,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
83,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-02,19.8326473236084,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
84,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-05,7.30360221862793,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
85,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-07,9.186925888061523,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
86,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-10,28.516897201538086,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
87,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-20,10.34130573272705,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
88,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-22,11.074642181396484,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
89,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-25,13.44615650177002,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
90,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-11-14,22.613147735595703,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
91,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-11-16,28.216880798339844,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
92,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-26,33.71177291870117,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
93,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-29,19.327686309814453,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
94,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-31,10.343225479125977,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
95,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-03,13.171426773071289,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
96,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-05,21.942304611206055,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
97,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-08,25.051895141601562,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
98,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-10,29.711284637451172,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
99,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-13,18.594331741333008,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
100,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-25,37.13336944580078,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
101,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-02,21.046052932739258,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
102,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-07,43.65991973876953,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
103,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-14,27.402624130249023,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
104,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-19,31.18691635131836,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
105,"42.23,-8.77",ES,,Vigo,Vigo,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-11,40.59293746948242,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
